epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,1309.75,0.80749,0.32159,0.00272,0.92573,0.93011,0.93775,0.72901,0.84871,0.31225,0.0033,0.0276881,0.00922935,0.0276881,0.00922935,0.0276881,0.00922935,0.0276881,0.00922935
41,1341.29,0.80774,0.32211,0.00278,0.94004,0.90593,0.9539,0.75809,0.81891,0.32338,0.00323,0.0276288,0.00920959,0.0276288,0.00920959,0.0276288,0.00920959,0.0276288,0.00920959
42,1372.8,0.83338,0.33024,0.00283,0.92858,0.9116,0.93228,0.74698,0.81298,0.3337,0.00318,0.0275695,0.00918983,0.0275695,0.00918983,0.0275695,0.00918983,0.0275695,0.00918983
43,1404.34,0.79782,0.31811,0.0027,0.94986,0.89021,0.93856,0.75984,0.76221,0.31943,0.003,0.0275102,0.00917007,0.0275102,0.00917007,0.0275102,0.00917007,0.0275102,0.00917007
44,1435.63,0.80002,0.31246,0.00273,0.92149,0.92803,0.93522,0.69027,0.97279,0.32705,0.00372,0.0274509,0.00915031,0.0274509,0.00915031,0.0274509,0.00915031,0.0274509,0.00915031
45,1467.38,0.82341,0.31779,0.00284,0.91839,0.9287,0.94268,0.7385,0.81868,0.35629,0.00316,0.0273917,0.00913055,0.0273917,0.00913055,0.0273917,0.00913055,0.0273917,0.00913055
46,1499,0.8098,0.31513,0.00276,0.9181,0.90354,0.92872,0.62923,1.24603,0.39377,0.00468,0.0273324,0.00911079,0.0273324,0.00911079,0.0273324,0.00911079,0.0273324,0.00911079
47,1530.83,0.79618,0.32163,0.0027,0.92808,0.93548,0.94811,0.77358,0.75952,0.29136,0.00299,0.0272731,0.00909103,0.0272731,0.00909103,0.0272731,0.00909103,0.0272731,0.00909103
48,1562.22,0.79181,0.32305,0.00268,0.93546,0.90255,0.92988,0.60831,1.2743,0.38841,0.00479,0.0272138,0.00907127,0.0272138,0.00907127,0.0272138,0.00907127,0.0272138,0.00907127
49,1593.95,0.79515,0.32372,0.00269,0.9498,0.90231,0.94687,0.74977,0.79194,0.33406,0.00315,0.0271545,0.00905151,0.0271545,0.00905151,0.0271545,0.00905151,0.0271545,0.00905151
50,1625.46,0.81375,0.32063,0.00275,0.92159,0.92617,0.9386,0.72356,0.89143,0.34322,0.00342,0.0270953,0.00903175,0.0270953,0.00903175,0.0270953,0.00903175,0.0270953,0.00903175
51,1657.01,0.77179,0.30333,0.00261,0.92205,0.90664,0.92898,0.67367,1.05005,0.35301,0.00397,0.027036,0.00901199,0.027036,0.00901199,0.027036,0.00901199,0.027036,0.00901199
52,1688.27,0.77261,0.29989,0.00262,0.92816,0.9036,0.93316,0.61717,1.28396,0.39529,0.00483,0.0269767,0.00899223,0.0269767,0.00899223,0.0269767,0.00899223,0.0269767,0.00899223
53,1720.02,0.78873,0.30436,0.00265,0.94426,0.90734,0.94954,0.76871,0.74619,0.31098,0.00294,0.0269174,0.00897247,0.0269174,0.00897247,0.0269174,0.00897247,0.0269174,0.00897247
54,1751.58,0.79394,0.31367,0.00268,0.93425,0.91987,0.93345,0.74883,0.75892,0.32375,0.00299,0.0268581,0.00895271,0.0268581,0.00895271,0.0268581,0.00895271,0.0268581,0.00895271
55,1783.32,0.77794,0.3049,0.00265,0.94252,0.9149,0.9463,0.75686,0.7722,0.30755,0.00303,0.0267988,0.00893295,0.0267988,0.00893295,0.0267988,0.00893295,0.0267988,0.00893295
56,1814.76,0.7626,0.29922,0.00258,0.93438,0.92226,0.94604,0.75407,0.7864,0.30695,0.00309,0.0267396,0.00891319,0.0267396,0.00891319,0.0267396,0.00891319,0.0267396,0.00891319
57,1846.24,0.80031,0.31378,0.00271,0.93514,0.9047,0.92472,0.63798,1.14436,0.3789,0.00434,0.0266803,0.00889343,0.0266803,0.00889343,0.0266803,0.00889343,0.0266803,0.00889343
58,1877.73,0.79976,0.30618,0.00271,0.92644,0.90983,0.94034,0.75017,0.78634,0.29302,0.00308,0.026621,0.00887367,0.026621,0.00887367,0.026621,0.00887367,0.026621,0.00887367
59,1909.3,0.76348,0.30234,0.00256,0.92536,0.91789,0.94267,0.75338,0.80183,0.30898,0.00311,0.0265617,0.00885391,0.0265617,0.00885391,0.0265617,0.00885391,0.0265617,0.00885391
60,1940.56,0.76607,0.29505,0.00256,0.95702,0.91122,0.94846,0.75066,0.82473,0.29874,0.0032,0.0265024,0.00883415,0.0265024,0.00883415,0.0265024,0.00883415,0.0265024,0.00883415
61,1971.87,0.75721,0.30276,0.00256,0.92925,0.89646,0.93025,0.71407,0.91965,0.33034,0.00355,0.0264432,0.00881439,0.0264432,0.00881439,0.0264432,0.00881439,0.0264432,0.00881439
62,2003.47,0.77158,0.31194,0.0026,0.94633,0.91076,0.93818,0.71247,0.93276,0.36393,0.00356,0.0263839,0.00879463,0.0263839,0.00879463,0.0263839,0.00879463,0.0263839,0.00879463
63,2034.76,0.75428,0.30467,0.00257,0.94508,0.90588,0.93878,0.75433,0.7739,0.32122,0.00303,0.0263246,0.00877487,0.0263246,0.00877487,0.0263246,0.00877487,0.0263246,0.00877487
64,2066.04,0.74175,0.29012,0.0025,0.9304,0.91092,0.93158,0.75967,0.75099,0.32687,0.003,0.0262653,0.00875511,0.0262653,0.00875511,0.0262653,0.00875511,0.0262653,0.00875511
65,2097.52,0.75658,0.29485,0.00256,0.92116,0.93034,0.94342,0.72997,0.84031,0.35294,0.00323,0.026206,0.00873535,0.026206,0.00873535,0.026206,0.00873535,0.026206,0.00873535
66,2129.12,0.74266,0.30231,0.00254,0.94331,0.92452,0.93451,0.74265,0.79685,0.31468,0.0031,0.0261468,0.00871559,0.0261468,0.00871559,0.0261468,0.00871559,0.0261468,0.00871559
67,2160.58,0.7551,0.29579,0.00253,0.9273,0.91163,0.93723,0.74199,0.83311,0.31359,0.00322,0.0260875,0.00869583,0.0260875,0.00869583,0.0260875,0.00869583,0.0260875,0.00869583
